Step,Weight
8,0.0
16,0.0034
24,0.0211
32,0.0205
40,0.0117
48,0.0097
56,0.0059
64,0.0038
72,0.0013
80,0.0023
88,0.0386
96,0.0469
200,0.0376
400,0.2048
600,0.2829
8,0.009
16,0.001
24,0.0141
32,0.014
40,0.0139
48,0.0204
56,0.0294
64,0.0386
72,0.0303
80,0.0366
88,0.0009
96,0.0002
200,0.0854
400,0.1854
600,0.3239
8,0.0135
16,0.0012
24,0.0136
32,0.0107
40,0.0155
48,0.018
56,0.0172
64,0.0319
72,0.0444
80,0.0598
88,0.0273
96,0.05
200,0.0808
400,0.2052
600,0.1995
8,0.0008
16,0.0052
24,0.0056
32,0.0127
40,0.0152
48,0.0159
56,0.0194
64,0.0325
72,0.0437
80,0.0452
88,0.02
96,0.0217
200,0.0487
400,0.1345
600,0.2804
8,0.0
16,0.0019
24,0.0133
32,0.0088
40,0.0124
48,0.0219
56,0.0186
64,0.0307
72,0.0435
80,0.0575
88,0.0466
96,0.0569
200,0.0729
400,0.1308
600,0.1716
8,0.0016
16,0.0161
24,0.0047
32,0.0214
40,0.0379
48,0.0175
56,0.0284
64,0.0243
72,0.0236
80,0.0339
88,0.0562
96,0.0501
200,0.0807
400,0.1822
600,0.2503
8,0.0
16,0.0056
24,0.0082
32,0.0109
40,0.0136
48,0.0241
56,0.022
64,0.0389
72,0.0484
80,0.0272
88,0.0162
96,0.0508
200,0.0843
400,0.1926
600,0.2783
8,0.0001
16,0.0
24,0.0
32,0.0003
40,0.0
48,0.0112
56,0.019
64,0.0338
72,0.0415
80,0.0317
88,0.027
96,0.0528
200,0.0665
400,0.1762
600,0.2513
8,-0.0001
16,0.0005
24,0.0123
32,0.0066
40,0.0159
48,0.0288
56,0.0353
64,0.0328
72,0.0465
80,0.0253
88,0.0154
96,0.0229
200,0.1006
400,0.1935
600,0.1276
8,0.0016
16,0.0152
24,0.0041
32,0.0199
40,0.019
48,0.0139
56,0.0233
64,0.0219
72,0.032
80,0.0478
88,0.0607
96,0.0624
200,0.0903
400,0.1975
600,0.2569
