Step,Weight
17,0.0001
33,0.0002
50,0.0005
67,0.0
83,0.0
100,0.0001
200,0.0091
1000,0.021
2000,0.0102
3000,0.0011
4000,0.0038
17,0.0
33,0.0
50,0.0
67,0.0
83,0.0
100,0.0001
200,0.0001
1000,0.0003
2000,0.0006
3000,0.0009
4000,0.0003
17,0.0001
33,0.0002
50,0.0002
67,0.0001
83,0.0001
100,0.0001
200,0.0003
1000,0.0002
2000,0.0073
3000,0.0
4000,0.0002
17,0.0002
33,0.0001
50,0.0002
67,0.0002
83,0.0003
100,0.0
200,0.0
1000,0.0001
2000,0.0005
3000,0.0002
4000,0.0
17,0.0
33,0.0
50,0.0
67,0.0002
83,0.0
100,0.0001
200,0.0
1000,0.0
2000,0.0001
3000,0.0001
4000,0.0003
17,0.0003
33,0.0002
50,0.0001
67,0.0
83,0.0
100,0.0
200,0.0001
1000,0.0001
2000,0.0002
3000,0.0001
4000,0.0002
17,0.0001
33,0.0
50,0.0001
67,0.0001
83,0.0001
100,0.0003
200,0.0001
1000,0.0002
2000,0.0001
